date,location,observer,time,calltype,calltype.simple,birdtype,birdtype.simple,before,behavior1,behavior2,behavior3,after,notes,avisoftfilenum,
2/4/24,Casa 166,Michelle,5:32 PM,Peew,peew,Andro,andro,fly-feeder,inchase.A,,,perch,N/A,N/A,N/A
2/4/24,Casa 166,Michelle,5:58 PM,Peew,peew,Andro,andro,,chase.A,,,perch,N/A,N/A,N/A
2/4/24,Casa 166,Michelle,6:17 PM,Peew,peew,Andro,andro,fly-feeder,inchase.A,,,feed,N/A,N/A,N/A
3/4/24,Casa 166,Sadoni ,6:42 AM,peew,peew,andro,andro,fly-feeder,chase.ama,,,,,,high acitvity 
3/4/24,Casa 166,Sadoni ,6:43 AM,peew,peew,andro,andro,inchase.A,fly-away,,,,,,
3/4/24,Casa 166,Sadoni ,6:50 AM,peew,peew,andro,andro,feed,fly-away,,,,,,
3/4/24,Casa 166,Sadoni ,7:20 AM,peew,peew,andro,andro,,fly-feeder,,,,,,
3/4/24,Casa 166,Sadoni ,7:27 AM,peew,peew,andro,andro,,fly-feeder,,,feed,,,
3/4/24,Casa 166,Sadoni ,7:48 AM,peew,peew,andro,andro,,inchase.U,,,,,,
3/4/24,Casa 166,Sadoni ,8:00 AM,peew,peew,andro,andro,,chased.A,,,,,,
3/4/24,Casa131,Sadoni ,10:55 AM,peew,peew,andro,andro,,inchase.U,,,,,,
3/4/24,Casa 145,Michelle,5:25 PM,Peew,peew,Andro,andro,perch,chase.U,,,perch,N/A,N/A,N/A
3/4/24,Casa 145,Michelle,5:34 PM,Peew,peew,Andro,andro,perch,chase.A,,,perch,N/A,N/A,N/A
3/4/24,Casa 145,Michelle,5:35 PM,Peew,peew,Andro,andro,perch,chase.A,,,perch,N/A,N/A,N/A
4/4/24,Casa 131,Sadoni ,7:22 AM,peew,peew,andro,andro,,inchase.U,,,,N/A,N/A,
4/4/24,Casa 131,Sadoni ,7:25 AM,peew,peew,andro,andro,,inchase.U,,,,N/A,N/A,
4/4/24,Casa 145,Sadoni ,11:16 AM,peew,peew,andro,andro,,chase.U,,,,N/A,N/A,
4/4/24,Casa 166,Michelle,3:13 PM,Peew,peew,Andro,andro,,inchase.A,,,feed,N/A,N/A,N/A
4/4/24,Casa 166,Michelle,3:43 PM,Peew,peew,Andro,andro,perch,chase.A,,,perch,N/A,N/A,N/A
4/4/24,Casa 166,Michelle,3:44 PM,Peew,peew,Andro,andro,perch,chase.A,,,perch,N/A,N/A,N/A
4/4/24,Casa 166,Michelle,5:10 PM,Peew,peew,Andro,andro,perch,inchase.A,,,perch,N/A,N/A,N/A
9/4/24,Casa 131,Michelle,7:09 AM,Peew,peew,Andro,andro,feed,inchase.U,,,,N/A,N/A,Not sure who made sound
9/4/24,Casa 131,Michelle,7:30 AM,Peew,peew,Andro,andro,perch,chase.A,,,feed,N/A,N/A,N/A
9/4/24,Casa 131,Michelle,7:41 AM,Peew,peew,Andro,andro,feed,chase.A,,,feed,N/A,N/A,N/A
9/4/24,Casa 131,Michelle,7:51 AM,Peew,peew,Andro,andro,,inchase.A,,,,N/A,N/A,Not sure who made sound
9/4/24,Casa 131,Michelle,8:31 AM,Peew,peew,Andro,andro,perch,inchase.U,,,,N/A,N/A,Not sure who made sound
9/4/24,Casa 131,Michelle,8:34 AM,Peew,peew,Andro,andro,perch,inchase.U,,,perch,N/A,N/A,N/A
9/4/24,Casa 166,Sadoni ,3:52 PM,Peew,peew,Andro,andro,,inchase.U,,,,N/A,N/A,N/A
9/4/24,Casa 166,Sadoni ,5:52 PM,peew,peew,andro,andro,,inchase.U,,,feed,N/A,N/A,N/A
10/4/24,Casa 145,Michelle,8:38 AM,Peew,peew,Andro,andro,feed,chase.U,,,,N/A,N/A,Not sure if chased or chaser did sound
10/4/24,Casa 166,Sadoni ,2:48 PM,peew,peew,andro,andro,,inchase.U,,,,,,
10/4/24,Casa 166,Sadoni ,3:35 PM,peew,peew,andro,andro,,inchase.U,,,,,,
28/03/24,Casa 131,Michelle,8:45 AM,Peew,peew,Andro?,andro,feed,chase.H,,,feed,N/A,N/A,
28/03/24,Casa 131,Michelle,11:01 AM,Peew,peew,Andro/Juv,andro,feed,inchase.U,,,perch,Not sure who made sound,N/A,
4/4/24,Casa 166,Michelle,3:27 PM,Peew,peew,Andro/Juv,andro,feed,inchase.U,,,fly-away,5,N/A,Not sure if andro or juvenile made the sound since they both were fighting
26/03/24,Casa 131 ,Sadoni ,2:18 PM,peew,peew,hetero,fem,fly-feeder,inchase.U,,,,B: hovering near feeders D: fighting,,
28/03/24,Casa 131,Michelle,8:07 AM,Peew,peew,Hetero,fem,feed,inchase.H,,,feed,N/A,N/A,
28/03/24,Casa 131,Michelle,8:35 AM,Peew,peew,Hetero,fem,feed,chase.H,,,fly-around,delete two recs before,3,
2/4/24,Casa 166,Michelle,4:34 PM,Peew,peew,Hetero,fem,,chased.A,,,perch,N/A,N/A,N/A
9/4/24,Casa 166,Sadoni ,4:22 PM,peew,peew,hetero,fem,,inchase.U,,,,N/A,N/A,N/A
10/4/24,Casa 166,Sadoni ,3:10 PM,peew,peew,juv,juv,fly-feeder,chased.ama,,,perch,,,
10/4/24,Casa 166,Sadoni ,3:18 PM,peew,peew,juv,juv,,chase.A,,,feed,,,
2/4/24,Casa 166,Michelle,5:51 PM,Peew,peew,Juvenile,juv,perch,chase.A,,,perch,N/A,N/A,It could have been juvenile that was chasing or andro that was being chased
2/4/24,Casa 166,Michelle,6:03 PM,Peew,peew,Juvenile,juv,perch,inchase.A,,,perch,N/A,N/A,N/A
2/4/24,Casa 166,Michelle,6:18 PM,Peew,peew,Juvenile,juv,,inchase.ama,,,perch,N/A,N/A,"Juvenile was almost male adult, defending his feeder"
21/03/2024,Casa 145,Michelle,4:07 PM,Peew,peew,Male,andro,perch,chase.A,,,,N/A,N/A,
21/03/2024,Casa 166,Michelle,5:23 PM,Peew,peew,Male,andro,,chase.A,,,fly-away,N/A,N/A,
21/03/2024,Casa 166,Michelle,5:38 PM,Peew,peew,Male,andro,,fly-feeder,,,fly-away,This male seemed to be alone which is weird for that peew sound,12,
21/03/2024,Casa 166,Michelle,5:40 PM,Peew,peew,Male,andro,feed,chase.A,,,,N/A,13,
